,Song,Artist,Year,SongID,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,time_signature,valence,artist_popularity,artist_genres,top_genre,genre_code,top10,top5
0,TiK ToK,Ke$ha,2010,0HPD5WQqrq7wPWR7P7Dw1i,0.0991,0.755,199693,0.837,0.0,2,0.289,-2.718,0.142,120.028,4,0.714,82,"dance pop,electropop,pop,post-teen pop",pop,36,1,1
1,Need You Now,Lady Antebellum,2010,11EX5yhxr9Ihl3IN1asrfK,0.0927,0.587,277573,0.622,0.000636,4,0.2,-5.535,0.0303,107.943,4,0.231,74,"contemporary country,country,country dawn,country pop,country road",contemporary country,12,1,1
2,"Hey, Soul Sister",Train,2010,4HlFJV71xXKIGcU3kRyttv,0.185,0.673,216773,0.886,0.0,1,0.0826,-4.44,0.0431,97.012,4,0.795,78,"dance pop,neo mellow,pop,pop rock,post-teen pop",pop,36,1,1
3,California Gurls,Katy Perry Featuring Snoop Dogg,2010,6tS3XVuOyu10897O3ae7bi,0.00446,0.791,234653,0.754,0.0,0,0.163,-3.729,0.0569,125.014,4,0.425,88,"dance pop,pop,post-teen pop",pop,36,1,1
4,OMG,Usher Featuring will.i.am,2010,1bM50INir8voAkVoKuvEUI,0.198,0.781,269493,0.745,1.14e-05,4,0.36,-5.81,0.0332,129.998,4,0.326,84,"atl hip hop,dance pop,pop,r&b,south carolina hip hop,urban contemporary",pop,36,1,1
5,Airplanes,B.o.B Featuring Hayley Williams,2010,6lV2MSQmRIkycDScNtrBXO,0.11,0.66,180480,0.867,0.0,6,0.0368,-4.285,0.116,93.033,4,0.377,78,"atl hip hop,dance pop,hip hop,pop,pop rap,rap,southern hip hop",pop,36,1,0
6,Love The Way You Lie,Eminem Featuring Rihanna,2010,15JINEqzVMv3SvJTAXAKED,0.241,0.749,263373,0.925,0.0,10,0.52,-5.034,0.227,86.989,4,0.641,94,"detroit hip hop,hip hop,rap",rap,42,1,0
7,Bad Romance,Lady Gaga,2010,0SiywuOBRcynK0uKGWdCnn,0.00314,0.696,294573,0.921,5.24e-05,0,0.0842,-3.755,0.0363,119.001,4,0.714,90,"dance pop,pop,post-teen pop",pop,36,1,0
8,Dynamite,Taio Cruz,2010,1DqdF42leyFIzqNDv9CjId,0.00332,0.754,203867,0.804,0.0,4,0.0329,-3.177,0.0853,119.968,4,0.818,75,"dance pop,edm,pop,pop rap",pop,36,1,0
9,Break Your Heart,Taio Cruz Featuring Ludacris,2010,1CdqVF1ywD0ZO1zXtB9yWa,0.00155,0.666,186267,0.899,0.0,8,0.0677,-4.676,0.028,122.05,4,0.629,75,"dance pop,edm,pop,pop rap",pop,36,1,0
10,Nothin' On You,B.o.B Featuring Bruno Mars,2010,59dLtGBS26x7kc0rHbaPrq,0.386,0.688,268320,0.853,0.0,10,0.0862,-5.814,0.0493,103.993,4,0.743,78,"atl hip hop,dance pop,hip hop,pop,pop rap,rap,southern hip hop",pop,36,1,0
11,I Like It,Enrique Iglesias Featuring Pitbull,2010,4nVyHATevhl5RC6Qmoko5H,0.0209,0.646,231787,0.94,0.0,10,0.0691,-2.856,0.0838,129.011,4,0.704,80,"dance pop,latin,latin pop,mexican pop,pop",pop,36,0,0
12,BedRock,Young Money Featuring Lloyd,2010,3iL2l5gUqyPS6vDwJFgJTR,0.102,0.733,288133,0.664,0.0,8,0.191,-6.163,0.295,148.005,4,0.557,68,"dirty south rap,gangster rap,hip hop,pop rap,rap,southern hip hop,trap",pop rap,38,0,0
